Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Prolactin Signaling	3.42E00	3.83E-01	0.000	CEBPB,FOS,IRF1,JUN,MAP2K1,MRAS,NMI,NR3C1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PRKD3,PRLR,PTPN11,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SOCS1,SOCS3,SOS2,STAT1,STAT3,STAT5B	
Apelin Cardiomyocyte Signaling Pathway	3.36E00	3.64E-01	-0.686	AKT1,AKT2,AKT3,APLN,ATP2A2,CAT,GNAI1,GNAI2,MAPK11,MAPK13,MAPK15,MYL10,MYL9,MYLK,MYLPF,NOS3,NOTUM,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PRKD3,SLC8A3,SLC9A1,SLC9A2,TGFB1	
CREB Signaling in Neurons	3.34E00	3.14E-01	-1.938	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AKT1,AKT2,AKT3,ATF2,ATF4,CACNA1A,CACNA1B,CACNA1D,CACNA2D1,CACNA2D2,CACNB4,CACNG4,CAMK2B,CAMK4,CREB3,CREB3L3,CREB3L4,GNA14,GNA15,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,GRIN2D,GRM2,MAP2K1,MRAS,NOTUM,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,POLR2B,POLR2C,POLR2G,POLR2I,PRKACB,PRKAR1B,PRKD3,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RPS6KA1,SOS2	
Retinol Biosynthesis	3.34E00	4.52E-01	-2.524	AADAC,CES1,Ces1e,Ces1g,CES2,DDHD2,DHRS3,DHRS9,LIPE,LRAT,PNLIPRP1,PNLIPRP2,PNPLA2,PNPLA3,RBP1,RBP2,RBP7,RDH10,RDH13	
tRNA Charging	3.32E00	4.62E-01	3.300	AARS1,CARS1,FARSA,GARS1,HARS1,IARS1,KARS1,MARS1,NARS1,SARS1,TARS1,TARS2,TARS3,VARS,VARS2,WARS1,WARS2,YARS1	
Antigen Presentation Pathway	3.32E00	4.62E-01	NaN	B2M,CALR,CD74,CIITA,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,HLA-G,NLRC5,PSMB6,PSMB8,TAP1,TAP2,TAPBP	
Citrulline Biosynthesis	3.32E00	7.78E-01	-1.134	ARG2,GLS,GLS2,LOC102724788/PRODH,OAT,OTC,PRODH2	
Interferon Signaling	3.31E00	4.72E-01	2.500	BAK1,BCL2,IFI35,IFIT3,IFITM3,IFNAR2,IFNGR2,IRF1,IRF9,ISG15,OAS1,PSMB8,RELA,SOCS1,STAT1,STAT2,TAP1	
Sperm Motility	3.3E00	3.09E-01	-1.768	ABHD3,BMX,CAMK4,CLK1,CLK3,CLK4,CSF1R,DDR1,DSTYK,DYRK4,EPHA2,EPHA4,FES,FGFR2,FGFR3,FGFR4,FGR,FLT4,HCK,INSR,JAK3,KIT,LCK,LTK,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MATK,MERTK,MRAS,MST1R,NOTUM,NTRK1,PDE2A,PDE4A,PDE4B,PDGFRB,PLA2G12A,PLA2G1B,Pla2g2a,PLA2G2C,PLA2G4C,PLA2G5,PLA2R1,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PNPLA3,PRKACB,PRKAR1B,PRKD3,PRKG2,PTK2B,PTK6,RET,RYK,SLC12A2,SRMS,TEC,TEK,TWF1,TXK,YES1,ZAN	
Pyridoxal 5'-phosphate Salvage Pathway	3.3E00	4E-01	0.600	ACVR2A,ADPGK,AKT2,CDK1,DMPK,GRK4,GRK5,GRK6,HIPK1,LIMK1,LIMK2,MAK,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAP3K6,MAP3K8,NEK2,PAK1,PAK3,PIM1,PLK1,PRKAA2,PRPF4B,SGK1	
Hepatic Cholestasis	3.28E00	3.19E-01	NaN	ABCB1,ABCC1,ABCC2,ABCG5,ABCG8,ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,ATP8B1,CD14,CSF2,CYP3A5,FGFR4,GCGR,HNF1A,IKBKE,IKBKG,IL15,IL18,IL1RAP,INSR,IRAK2,JUN,LIF,LTA,LTB,MAP2K4,MAP3K4,MYD88,NFKB2,NFKBIA,NFKBIB,NFKBIE,NR0B2,NR1H3,NR1H4,NR5A2,PPARA,PRKACB,PRKAR1B,PRKD3,RELA,SLC10A1,SLC10A2,TGFB1,TIRAP,TJP2,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,TNFSF10,TNFSF12,TNFSF13,TNFSF15,TRAF2	
p38 MAPK Signaling	3.27E00	3.47E-01	1.859	ATF2,ATF4,CDC25B,CREB3,CREB3L3,CREB3L4,DAXX,DDIT3,DUSP10,FAS,IL18,IL1RAP,IRAK2,MAP2K3,MAP2K4,MAP2K6,MAP4K1,MAPK11,MAPK13,MAPKAPK2,MAPKAPK3,MAX,MEF2A,PLA2G12A,PLA2G1B,PLA2G4C,PLA2G5,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,SRF,STAT1,TGFB1,TGFBR1,TIFA,TNF,TNFRSF1A,TNFRSF1B,TRADD,TRAF2	
Wnt/Ca+ pathway	3.26E00	4.03E-01	-1.400	ATF2,ATF4,CREB3,CREB3L3,CREB3L4,FZD1,FZD2,FZD3,FZD6,NFAT5,NFATC1,NFATC3,NFATC4,NFKB2,NOTUM,PDE6D,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PPP3CA,RELA	
ATM Signaling	3.21E00	3.61E-01	-0.365	ATF2,ATF4,ATM,BID,CBX5,CCNB2,CDK1,CDKN1A,CREB3,CREB3L3,CREB3L4,GADD45B,GADD45G,HERC2,JUN,MAP2K4,MAPK11,MAPK13,NFKBIA,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,RAD51,SMC3,SUV39H1,TDP1,TLK1,TOPBP1,ZNF420	
Macropinocytosis Signaling	3.21E00	3.82E-01	0.000	ACTN4,ANKFY1,ARF6,CD14,CSF1,CSF1R,EGF,ITGA5,ITGB7,MRAS,PAK1,PDGFA,PDGFC,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PRKD3,RAC1,RALB,RAP2A,RAP2B,RASD1,RASD2,RHOA	
PFKFB4 Signaling Pathway	3.21E00	4.35E-01	0.894	ATF2,ATF4,CREB3,CREB3L3,CREB3L4,FBP1,FBP2,GCK,HK1,HK2,MAP2K1,MAP2K3,MAP2K4,MAP2K6,NCOA3,PRKACB,PRKAR1B,RPS6KA5,TGFB1,XDH	
CDK5 Signaling	3.19E00	3.52E-01	0.000	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,CACNA1A,EGR1,ITGA2,LAMB1,LAMC1,MAP2K1,MAPK11,MAPK13,MAPK15,MRAS,PPM1J,PPM1L,PPP1R11,PPP1R14B,PPP1R14C,PPP1R14D,PPP1R3D,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PRKACB,PRKAR1B,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2	
tRNA Splicing	3.18E00	4.42E-01	-0.688	GDE1,GDPD1,MPPE1,NAPEPLD,PDE2A,PDE3A,PDE3B,PDE4A,PDE4B,PDE5A,PDE6D,PDE8A,PDE8B,PDE9A,SMPDL3A,SMPDL3B,TRPT1,TSEN2,TULP2	
Nicotine Degradation III	3.18E00	4.11E-01	-4.379	ADH7,CSGALNACT1,CYP1A1,CYP2B6,CYP2C18,Cyp2c40 (includes others),CYP2C8,CYP2C9,CYP2J2,CYP2U1,CYP3A5,CYP4B1,CYP4F8,CYP51A1,UGT1A1,UGT1A3,UGT1A6,UGT1A8 (includes others),UGT2A3,UGT2B10,UGT2B17,UGT2B28,UGT2B7	
Unfolded protein response	3.18E00	4.11E-01	3.411	AMFR,ATF4,BCL2,CALR,CEBPB,CEBPD,DDIT3,EDEM1,ERO1B,HSPA14,HSPA1A/HSPA1B,Hspa1b,HSPA1L,HSPA2,HSPA5,HSPA9,INSIG1,PDIA2,PDIA6,PPARG,PPP1R15A,TRAF2,XBP1	
IL-17 Signaling	3.15E00	3.75E-01	NaN	AKT1,AKT2,AKT3,ATF2,CEBPB,CXCL10,IL17RC,JUN,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAPK11,MAPK13,MAPKAPK2,MRAS,NOS2,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA	
Lymphotoxin β Receptor Signaling	3.14E00	4.15E-01	1.147	AKT1,AKT2,AKT3,CASP3,IKBKE,IKBKG,LTA,LTB,LTBR,NFKB2,NFKBIA,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,RELA,RELB,TRAF2,TRAF4	
TR/RXR Activation	3.1E00	3.69E-01	NaN	AKR1C1/AKR1C2,AKT1,AKT2,AKT3,BCL3,CAMK4,COL6A3,DIO1,ENO1,F10,FGA,ME1,MTOR,NCOA2,NCOA3,NCOA4,NCOR1,PCK1,PDE3B,PFKP,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,RCAN2,SLC16A3,SLC2A1,THRB	
VEGF Family Ligand-Receptor Interactions	3.1E00	3.69E-01	0.577	AKT1,AKT2,AKT3,FLT4,FOS,MAP2K1,MRAS,NOS3,NRP1,NRP2,PGF,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLA2G12A,PLA2G1B,PLA2G4C,PLA2G5,PLCG2,PRKD3,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SOS2	
Melatonin Degradation I	3.09E00	4E-01	-4.491	CSGALNACT1,CYP1A1,CYP2B6,CYP2C18,Cyp2c40 (includes others),CYP2C8,CYP2C9,CYP2J2,CYP2U1,CYP3A5,CYP4B1,CYP4F8,CYP51A1,SULT1B1,Sult1d1,UGT1A1,UGT1A3,UGT1A6,UGT1A8 (includes others),UGT2A3,UGT2B10,UGT2B17,UGT2B28,UGT2B7	
3-phosphoinositide Biosynthesis	3.09E00	3.21E-01	0.962	ALPL,CDC25B,CDIPT,CILP,DOT1L,DUSP10,DUSP12,DUSP16,DUSP5,DUSP8,EPHX2,ITPK1,MDP1,MINPP1,MTMR4,MTMR7,NUDT12,NUDT5,NUDT9,PALD1,PI4K2A,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PIKFYVE,PIP5K1A,PPFIA1,PPFIA3,PPIP5K1,PPM1H,PPP1R14B,PPP1R8,PPP2R3A,PPP2R5D,PPP3CA,PPP4C,PPP5C,PTEN,PTPN11,PTPN13,PTPN22,PTPRC,PTPRN,PTPRO,RASA1,SOCS3,TNS3,TPTE2,WBP11	
Stearate Biosynthesis I (Animals)	3.06E00	4.26E-01	-2.524	ACOT1,ACOT11,ACOT2,ACOT4,ACOT7,ACOT8,ACOT9,ACSL1,ACSL3,BDH2,Ces1e,CYP4A11,ELOVL6,LPCAT4,SLC27A1,SLC27A2,SLC27A3,SLC27A5,SLC27A6,TBXAS1	
Hypoxia Signaling in the Cardiovascular System	3.05E00	3.78E-01	1.604	AKT1,ATF2,ATF4,ATM,BIRC6,CDC34,CREB3,CREB3L3,CREB3L4,EDN1,HSP90AB1,JUN,NFKBIA,NFKBIB,NFKBIE,NOS3,PTEN,UBE2C,UBE2E3,UBE2F,UBE2G2,UBE2J2,UBE2L6,UBE2M,UBE2Q2,UBE2S,UBE2T,VHL	
Cyclins and Cell Cycle Regulation	3.05E00	3.7E-01	1.225	ATM,CCNA1,CCNB2,CCND1,CCND3,CCNE1,CDK1,CDKN1A,CDKN1B,CDKN2D,E2F2,E2F4,HDAC1,HDAC5,HDAC8,MYT1,PA2G4,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,RAF1,SUV39H1,TGFB1,WEE1	
Fc Epsilon RI Signaling	3.04E00	3.42E-01	0.169	AKT1,AKT2,AKT3,CSF2,INPP5D,INPP5J,INPP5K,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAPK11,MAPK13,MRAS,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLA2G12A,PLA2G1B,PLA2G4C,PLA2G5,PLCG2,PRKD3,PTPN11,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SOS2,TNF,VAV1,VAV3	
LXR/RXR Activation	3.02E00	3.39E-01	-2.058	ABCA1,ABCG1,ABCG5,ABCG8,AGT,ALB,AMBP,APOA2,APOA4,APOB,APOC2,APOD,APOH,ARG2,C3,C4A/C4B,CD14,CD36,CLU,CYP51A1,FGA,HADH,IL18,IL1RAP,LYZ,MYLIP,NCOR1,NFKB2,NOS2,NR1H2,NR1H3,NR1H4,RBP4,RELA,SCD,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,TTR,UGT1A3	
cAMP-mediated signaling	3.01E00	3.03E-01	-2.750	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,ADORA2A,ADORA2B,ADRA2A,ADRB2,AKAP11,AKAP5,AKAP7,ATF2,ATF4,CAMK1,CAMK1D,CAMK2B,CAMK4,CHRM1,CHRM3,CNR1,CREB3,CREB3L3,CREB3L4,CREM,DUSP4,DUSP6,DUSP9,GDE1,GDPD1,GNAI1,GNAI2,GRK4,GRM2,HRH3,HTR4,HTR6,LAMTOR3,MAP2K1,MPPE1,NAPEPLD,OPRD1,PDE2A,PDE3A,PDE3B,PDE4A,PDE4B,PDE5A,PDE6D,PDE8A,PDE8B,PDE9A,PPP3CA,PRKACB,PRKAR1B,RAF1,RAP1GAP,RAPGEF3,RAPGEF4,RGS2,RGS4,RPS6KA1,SMPDL3A,SMPDL3B,SSTR3,STAT3,TULP2,VIPR1	
Inflammasome pathway	3E00	5.5E-01	0.302	CASP8,CTSB,IL18,MYD88,NAIP,NEK7,NFKB2,NLRC4,NLRP1,NOD2,PYCARD	
Neuregulin Signaling	2.97E00	3.54E-01	1.732	AKT1,AKT2,AKT3,AREG,CDKN1B,EGF,EREG,GRB7,HBEGF,HSP90AB1,ITGA2,ITGA4,ITGA5,MAP2K1,MATK,MRAS,MTOR,NRG4,PICK1,PIK3R1,PIK3R3,PLCG2,PRKD3,PSEN1,PTEN,PTPN11,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SOS2,STAT5B	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	2.96E00	5.22E-01	0.577	BPNT1,IMPA2,IMPAD1,INPP1,INPP5D,INPP5J,INPP5K,ITPKA,ITPKB,ITPKC,MINPP1,PTEN	
IL-17A Signaling in Fibroblasts	2.95E00	4.57E-01	NaN	CEBPB,CEBPD,FOS,IKBKE,IKBKG,IL17RC,JUN,LCN2,MAPK11,MAPK13,NFKB2,NFKBIA,NFKBIB,NFKBIE,NFKBIZ,RELA	
Noradrenaline and Adrenaline Degradation	2.95E00	4.57E-01	-2.000	ADH1C,ADH4,Adh6a,ADH7,ADHFE1,ALDH1A1,ALDH3A2,Aldh3b2,ALDH4A1,COMT,DHRS4,DHRS9,IL4I1,MAOA,MAOB,SMOX	
Gap Junction Signaling	2.94E00	3.08E-01	NaN	ACTB,ACTG1,ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AKT1,AKT2,AKT3,CSNK1E,CSNK1G3,DBN1,EGF,GJA4,GJB1,GJB2,GNAI1,GNAI2,GUCY2C,MAP2K1,MRAS,NOTUM,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PPP3CA,PRKACB,PRKAR1B,PRKD3,PRKG2,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SLC39A7,SOS2,TJP2,TUBA1B,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB2A,TUBB2B,TUBB3,TUBG1	
Glutathione-mediated Detoxification	2.94E00	4.69E-01	-3.873	GGH,GSTA3,Gsta4,GSTA5,GSTK1,GSTM1,GSTM2,Gstm3,GSTM4,GSTM5,Gstt1,HPGDS,MGST2,MGST3,NAT8	
D-myo-inositol-5-phosphate Metabolism	2.92E00	3.21E-01	1.131	ALPL,CDC25B,CILP,DOT1L,DUSP10,DUSP12,DUSP16,DUSP5,DUSP8,EPHX2,ITPK1,MDP1,MINPP1,MTMR4,MTMR7,NUDT12,NUDT5,NUDT9,PALD1,PIKFYVE,PIP4K2A,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PPFIA1,PPFIA3,PPIP5K1,PPM1H,PPP1R14B,PPP1R8,PPP2R3A,PPP2R5D,PPP3CA,PPP4C,PPP5C,PTEN,PTPN11,PTPN13,PTPN22,PTPRC,PTPRN,PTPRO,RASA1,SOCS3,TNS3,TPTE2,WBP11	
Cancer Drug Resistance By Drug Efflux	2.92E00	3.97E-01	NaN	ABCB1,ABCC1,ABCC2,ABCG2,AKT1,AKT2,AKT3,FOXO6,MAP2K1,MRAS,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PTEN,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,YBX1	
FXR/RXR Activation	2.92E00	3.33E-01	NaN	ABCC2,ABCG5,ABCG8,AGT,AKT1,AKT2,AKT3,ALB,AMBP,APOA2,APOA4,APOB,APOC2,APOD,APOH,C3,C4A/C4B,CLU,FBP1,FGA,FGFR4,FOXA1,FOXA2,HNF1A,IL18,MAP2K4,MTTP,NR0B2,NR1H3,NR1H4,NR5A2,PCK2,PKLR,PPARA,PPARG,RBP4,SDC1,SLC10A1,SLC10A2,SLC27A5,TNF,TTR	
IGF-1 Signaling	2.91E00	3.46E-01	0.557	AKT1,AKT2,AKT3,CSNK2A2,FOS,IGFBP4,IRS2,JUN,MAP2K1,MRAS,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PRKACB,PRKAR1B,PTPN11,RAF1,RALB,RAP2A,RAP2B,RASA1,RASD1,RASD2,SFN,SOCS1,SOCS3,SOS2,SRF,STAT3,YWHAE,YWHAG,YWHAH	
IL-17A Signaling in Airway Cells	2.9E00	3.85E-01	0.816	AKT1,AKT2,AKT3,IKBKE,IKBKG,IL17RC,JAK3,MAP2K1,MAP2K4,MAPK11,MAPK13,NFKB2,NFKBIA,NFKBIB,NFKBIE,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTEN,RELA,STAT3	
ErbB2-ErbB3 Signaling	2.9E00	3.85E-01	0.218	AKT1,CCND1,CDKN1B,JAK3,JUN,MAP2K1,MRAS,NRG4,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTEN,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SOS2,STAT3,STAT5B	
Regulation of Cellular Mechanics by Calpain Protease	2.9E00	3.85E-01	-1.414	ACTN4,CAPN2,CAPN5,CAPN7,CAPN8,CAPN9,CAPNS1,CCNA1,CCND1,CCNE1,CDK1,CDKN1B,EGF,EZR,ITGA2,ITGA4,ITGA5,MRAS,RALB,RAP2A,RAP2B,RASD1,RASD2,TLN2,VCL	
Choline Biosynthesis III	2.89E00	6E-01	-1.890	CHPT1,GPLD1,HMOX1,NAPEPLD,PCYT1B,PHKA1,PLD1,PLD5,Pld6	
Paxillin Signaling	2.88E00	3.43E-01	1.257	ACTB,ACTG1,ACTN4,ARF1,ARF6,ARFIP2,ITGA2,ITGA4,ITGA5,ITGA7,ITGAM,ITGB7,MAP2K4,MAPK11,MAPK13,MRAS,PAK1,PAK3,PAK4,PAK6,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTK2B,RAC1,RALB,RAP2A,RAP2B,RASD1,RASD2,SOS2,TLN2,VCL	
p53 Signaling	2.8E00	3.47E-01	0.557	AKT1,AKT2,AKT3,ATM,BBC3,BCL2,BIRC5,CCND1,CDKN1A,FAS,GADD45B,GADD45G,HDAC1,JMY,JUN,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PML,PRKDC,PTEN,SERPINB5,SFN,SIRT1,SNAI2,STAG1,TNFRSF10A,TOPBP1,TP53INP1,TRIM29	
Aldosterone Signaling in Epithelial Cells	2.79E00	3.16E-01	-1.732	DNAJB1,DNAJB11,DNAJB13,Dnajb3,DNAJB4,DNAJB7,DNAJC11,DNAJC12,DNAJC13,DNAJC17,DNAJC27,DNAJC28,DNAJC4,HSP90AB1,HSPA12A,HSPA14,HSPA1A/HSPA1B,HSPA1L,HSPA2,HSPA5,HSPA9,HSPE1,MAP2K1,NOTUM,NR3C2,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PIKFYVE,PIP5K1A,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PRKD3,RAF1,SCNN1A,SCNN1G,SGK1,SLC12A2,SLC9A1,SOS2,TRAP1	
Phospholipases	2.74E00	3.81E-01	-1.706	ABHD3,GPLD1,HMOX1,NAPEPLD,NOTUM,PLA1A,PLA2G12A,PLA2G1B,Pla2g2a,PLA2G2C,PLA2G4C,PLA2G5,PLA2R1,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PLD1,PLD5,Pld6,PNPLA3	
3-phosphoinositide Degradation	2.74E00	3.16E-01	1.286	ALPL,CDC25B,CILP,DOT1L,DUSP10,DUSP12,DUSP16,DUSP5,DUSP8,EPHX2,INPP4B,INPP5D,INPP5J,INPP5K,ITPK1,MDP1,MINPP1,MTMR14,MTMR4,MTMR7,NUDT12,NUDT5,NUDT9,PALD1,PIKFYVE,PPFIA1,PPFIA3,PPIP5K1,PPM1H,PPP1R14B,PPP1R8,PPP2R3A,PPP2R5D,PPP3CA,PPP4C,PPP5C,PTEN,PTPMT1,PTPN11,PTPN13,PTPN22,PTPRC,PTPRN,PTPRO,RASA1,SOCS3,TNS3,TPTE2,WBP11	
Th1 Pathway	2.73E00	3.31E-01	0.507	CD274,CD40,CXCR3,GATA3,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,ICAM1,ICOSLG/LOC102723996,IFNGR2,IL12RB1,IL12RB2,IL18,IL18R1,IRF1,JAK3,LTA,MAP2K6,NFATC1,NFATC3,NFATC4,NFIL3,NOTCH3,NOTCH4,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PSEN1,SOCS1,SOCS3,STAT1,STAT3,VAV1	
Acyl-CoA Hydrolysis	2.71E00	6.15E-01	-0.378	ACOT1,ACOT11,ACOT2,ACOT4,ACOT7,ACOT8,ACOT9,Ces1e	
Endometrial Cancer Signaling	2.69E00	3.83E-01	-0.229	AKT1,AKT2,AKT3,CCND1,CDH1,LEF1,MAP2K1,MRAS,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTEN,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SOS2	
Glioma Invasiveness Signaling	2.69E00	3.65E-01	0.853	MRAS,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLAUR,RAC1,RAC2,RALB,RAP2A,RAP2B,RASD1,RASD2,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,TIMP2,TIMP3	
Melatonin Degradation II	2.68E00	1E00	0.000	IL4I1,MAOA,MAOB,SMOX	
Heparan Sulfate Biosynthesis	2.65E00	3.59E-01	-0.378	AADAC,AARS1,AARSD1,B3GAT2,Ces1b/Ces1c,Ces1e,CES2,Ces2a,Ces2e,CHST11,CHST15,CHST2,EXT1,EXTL2,HS3ST1,HS3ST3B1,LIPE,NOTUM,PLA1A,PNPLA7,PPME1,SULT1B1,SULT1C2,Sult1d1,SULT4A1,TARS2,UST,XYLT1	
Osteoarthritis Pathway	2.65E00	2.99E-01	1.033	AGER,ALPI,ALPL,ALPP,ANKH,ANXA2,ANXA5,ATF2,ATF4,BMPR2,CASP14,CASP3,CASP4,CASP7,CASP8,CEBPB,CREB3,CREB3L3,CREB3L4,ELF3,FGFR3,FZD1,FZD2,FZD3,FZD6,H19,HNF1A,IL1RAP,ITGA2,ITGA4,ITGA5,ITLN1,JAG1,LEF1,LRP1,MTF1,MTOR,MYBBP1A,NFKB2,NOS2,PDGFC,PGF,PPARD,PPARG,PRKAA2,PTHLH,RAC1,RBP4,RELA,SIRT1,SLC39A8,SMAD5,SMAD6,SPHK1,TCF4,TCF7L1,TGFB1,TGFBR1,TIMP3,TLR2,TNF,TNFRSF1A,TNFRSF1B	
Heparan Sulfate Biosynthesis (Late Stages)	2.64E00	3.66E-01	-0.392	AADAC,AARS1,AARSD1,Ces1b/Ces1c,Ces1e,CES2,Ces2a,Ces2e,CHST11,CHST15,CHST2,EXT1,EXTL2,HS3ST1,HS3ST3B1,LIPE,NOTUM,PLA1A,PNPLA7,PPME1,SULT1B1,SULT1C2,Sult1d1,SULT4A1,TARS2,UST	
Ephrin A Signaling	2.63E00	4.04E-01	NaN	CFL1,EPHA2,EPHA4,EPHA7,LIMK1,PAK1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTPN11,RAC1,RHOA,ROCK2,VAV1,VAV3	
Polyamine Regulation in Colon Cancer	2.56E00	5E-01	NaN	APC,MAX,MXD1,ODC1,PPARG,PSME1,PSME2,PSME3,PSMF1,SAT1,TCF4	
Bupropion Degradation	2.56E00	4.8E-01	-2.887	CYP1A1,CYP2B6,CYP2C18,Cyp2c40 (includes others),CYP2C8,CYP2C9,CYP2J2,CYP2U1,CYP3A5,CYP4B1,CYP4F8,CYP51A1	
STAT3 Pathway	2.54E00	3.19E-01	-0.730	BCL2,BMPR2,CDKN1A,CISH,EGF,FGFR2,FGFR3,FGFR4,FLT4,GHR,IL11RA,IL12RB1,IL12RB2,IL17RB,IL17RC,IL17RD,IL18R1,IL2RB,IL2RG,IL3RA,IL4R,INSR,MAP2K1,MAP2K4,MAP3K12,MAPK11,MAPK13,MRAS,NTRK1,PDGFRB,PIM1,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SOCS1,SOCS3,STAT3,TGFB1,TGFBR1	
Estrogen Biosynthesis	2.54E00	4.15E-01	-3.638	Akr1b7,CYP1A1,CYP2B6,CYP2C18,Cyp2c40 (includes others),CYP2C8,CYP2C9,CYP2J2,CYP2U1,CYP3A5,CYP4B1,CYP4F8,CYP51A1,HSD17B13,HSD17B14,HSD17B2,HSD17B4	
Docosahexaenoic Acid (DHA) Signaling	2.5E00	4.21E-01	NaN	AKT1,AKT2,AKT3,ALOX15,BCL2,BID,BIK,CASP3,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PNPLA2	
